6,16
0,17
7.5,18
0,19
17.5,19
0,19
0,19
0,19
96,19
0,19
36,19
191.5,19
10.5,21
0,21
477.5,22
12.5,22
12,22
0,23
46.5,23
126.5,23
36,23
7.5,23
110.5,23
48,23
0,23
0,23
26,24
0,24
716.5,24
5,24
0,25
0,25
41,25
0,25
0,25
7,26
552,27
10,27
21.5,27
27.5,27
144,28
357.5,28
96,28
0,28
0,29
28,29
205,29
462.7166666667,29
36,29
20,30
163.8333333333,31
180.5,31
14,31
6.5,31
56.75,31
368.5,32
0,32
2.5,32
250.5,33
0,33
4,33
0,33
15,33
0,33
12,34
0,34
0,34
0,34
7.5,35
5,35
0,35
300,35
30.5,36
0,36
12.5,37
18,37
0,37
1546,38
48,38
20,38
47.5,39
257.5,39
84,40
62,40
0,41
439,41
0,42
46.5,42
66.5,43
2.5,43
5,43
48,43
20,44
146.4166666667,44
5,44
0,45
0,47
20,47
101.5,47
7,49
0,49
29,50
0,50
80,50
7,50
7.5,50
4.5,50
4.5,51
43.5,51
0,51
0,51
3.5,52
122,52
7,52
122.5,54
96,54
7.5,56
1115,56
2.5,57
451,58
14,58
164.5,59
0,59
15,59
42.5,59
0,60
128.5,60
7.5,63
240,63
361.75,64
0,67
0,67
66,68
33,69
97,70
5,71
0,71
17.5,71
144,72
65,73
0,73
98.0833333333,74
145.6666666667,75
30,83
65,40
